           x        y(x)
  1.0010e-03  7.4809e-08
  2.0020e-03  1.4879e-07
  3.0030e-03  2.2195e-07
  4.0040e-03  2.9430e-07
  5.0050e-03  3.6584e-07
  6.0060e-03  4.3659e-07
  7.0070e-03  5.0655e-07
  8.0080e-03  5.7573e-07
  9.0090e-03  6.4414e-07
  1.0010e-02  7.1178e-07
  1.1011e-02  7.7867e-07
  1.2012e-02  8.4481e-07
  1.3013e-02  9.1020e-07
  1.4014e-02  9.7486e-07
  1.5015e-02  1.0388e-06
  1.6016e-02  1.1020e-06
  1.7017e-02  1.1645e-06
  1.8018e-02  1.2263e-06
  1.9019e-02  1.2874e-06
  2.0020e-02  1.3478e-06
  2.1021e-02  1.4075e-06
  2.2022e-02  1.4666e-06
  2.3023e-02  1.5249e-06
  2.4024e-02  1.5826e-06
  2.5025e-02  1.6397e-06
  2.6026e-02  1.6961e-06
  2.7027e-02  1.7518e-06
  2.8028e-02  1.8069e-06
  2.9029e-02  1.8614e-06
  3.0030e-02  1.9153e-06
  3.1031e-02  1.9685e-06
  3.2032e-02  2.0211e-06
  3.3033e-02  2.0732e-06
  3.4034e-02  2.1246e-06
  3.5035e-02  2.1754e-06
  3.6036e-02  2.2256e-06
  3.7037e-02  2.2753e-06
  3.8038e-02  2.3243e-06
  3.9039e-02  2.3728e-06
  4.0040e-02  2.4207e-06
  4.1041e-02  2.4681e-06
  4.2042e-02  2.5149e-06
  4.3043e-02  2.5612e-06
  4.4044e-02  2.6069e-06
  4.5045e-02  2.6521e-06
  4.6046e-02  2.6967e-06
  4.7047e-02  2.7409e-06
  4.8048e-02  2.7845e-06
  4.9049e-02  2.8275e-06
  5.0050e-02  2.8701e-06
  5.1051e-02  2.9122e-06
  5.2052e-02  2.9537e-06
  5.3053e-02  2.9948e-06
  5.4054e-02  3.0353e-06
  5.5055e-02  3.0754e-06
  5.6056e-02  3.1150e-06
  5.7057e-02  3.1541e-06
  5.8058e-02  3.1928e-06
  5.9059e-02  3.2310e-06
  6.0060e-02  3.2687e-06
  6.1061e-02  3.3059e-06
  6.2062e-02  3.3427e-06
  6.3063e-02  3.3791e-06
  6.4064e-02  3.4150e-06
  6.5065e-02  3.4505e-06
  6.6066e-02  3.4855e-06
  6.7067e-02  3.5201e-06
  6.8068e-02  3.5543e-06
  6.9069e-02  3.5880e-06
  7.0070e-02  3.6214e-06
  7.1071e-02  3.6543e-06
  7.2072e-02  3.6868e-06
  7.3073e-02  3.7189e-06
  7.4074e-02  3.7506e-06
  7.5075e-02  3.7818e-06
  7.6076e-02  3.8127e-06
  7.7077e-02  3.8432e-06
  7.8078e-02  3.8734e-06
  7.9079e-02  3.9031e-06
  8.0080e-02  3.9325e-06
  8.1081e-02  3.9614e-06
  8.2082e-02  3.9901e-06
  8.3083e-02  4.0183e-06
  8.4084e-02  4.0462e-06
  8.5085e-02  4.0737e-06
  8.6086e-02  4.1008e-06
  8.7087e-02  4.1276e-06
  8.8088e-02  4.1541e-06
  8.9089e-02  4.1802e-06
  9.0090e-02  4.2060e-06
  9.1091e-02  4.2314e-06
  9.2092e-02  4.2565e-06
  9.3093e-02  4.2812e-06
  9.4094e-02  4.3057e-06
  9.5095e-02  4.3298e-06
  9.6096e-02  4.3535e-06
  9.7097e-02  4.3770e-06
  9.8098e-02  4.4001e-06
  9.9099e-02  4.4230e-06
  1.0010e-01  4.4455e-06
  1.0110e-01  4.4677e-06
  1.0210e-01  4.4896e-06
  1.0310e-01  4.5112e-06
  1.0410e-01  4.5325e-06
  1.0511e-01  4.5535e-06
  1.0611e-01  4.5742e-06
  1.0711e-01  4.5946e-06
  1.0811e-01  4.6148e-06
  1.0911e-01  4.6346e-06
  1.1011e-01  4.6542e-06
  1.1111e-01  4.6735e-06
  1.1211e-01  4.6925e-06
  1.1311e-01  4.7113e-06
  1.1411e-01  4.7297e-06
  1.1512e-01  4.7479e-06
  1.1612e-01  4.7659e-06
  1.1712e-01  4.7836e-06
  1.1812e-01  4.8010e-06
  1.1912e-01  4.8182e-06
  1.2012e-01  4.8351e-06
  1.2112e-01  4.8517e-06
  1.2212e-01  4.8682e-06
  1.2312e-01  4.8843e-06
  1.2412e-01  4.9002e-06
  1.2513e-01  4.9159e-06
  1.2613e-01  4.9314e-06
  1.2713e-01  4.9466e-06
  1.2813e-01  4.9615e-06
  1.2913e-01  4.9763e-06
  1.3013e-01  4.9908e-06
  1.3113e-01  5.0050e-06
  1.3213e-01  5.0191e-06
  1.3313e-01  5.0329e-06
  1.3413e-01  5.0465e-06
  1.3514e-01  5.0599e-06
  1.3614e-01  5.0731e-06
  1.3714e-01  5.0861e-06
  1.3814e-01  5.0988e-06
  1.3914e-01  5.1113e-06
  1.4014e-01  5.1237e-06
  1.4114e-01  5.1358e-06
  1.4214e-01  5.1477e-06
  1.4314e-01  5.1594e-06
  1.4414e-01  5.1709e-06
  1.4515e-01  5.1823e-06
  1.4615e-01  5.1934e-06
  1.4715e-01  5.2043e-06
  1.4815e-01  5.2150e-06
  1.4915e-01  5.2256e-06
  1.5015e-01  5.2360e-06
  1.5115e-01  5.2461e-06
  1.5215e-01  5.2561e-06
  1.5315e-01  5.2659e-06
  1.5415e-01  5.2755e-06
  1.5516e-01  5.2850e-06
  1.5616e-01  5.2942e-06
  1.5716e-01  5.3033e-06
  1.5816e-01  5.3123e-06
  1.5916e-01  5.3210e-06
  1.6016e-01  5.3296e-06
  1.6116e-01  5.3380e-06
  1.6216e-01  5.3462e-06
  1.6316e-01  5.3543e-06
  1.6416e-01  5.3622e-06
  1.6517e-01  5.3700e-06
  1.6617e-01  5.3775e-06
  1.6717e-01  5.3850e-06
  1.6817e-01  5.3922e-06
