           x        y(x)
  1.0101e-02  8.4982e-04
  2.0202e-02  8.4982e-04
  3.0303e-02  8.4982e-04
  4.0404e-02  8.4982e-04
  5.0505e-02  8.4982e-04
  6.0606e-02  8.4982e-04
  7.0707e-02  8.4982e-04
  8.0808e-02  8.4982e-04
  9.0909e-02  8.4982e-04
  1.0101e-01  8.4982e-04
  1.1111e-01  8.4982e-04
  1.2121e-01  8.4982e-04
  1.3131e-01  8.4982e-04
  1.4141e-01  8.4982e-04
  1.5152e-01  8.4982e-04
  1.6162e-01  8.4982e-04
  1.7172e-01  8.4982e-04
  1.8182e-01  8.4982e-04
  1.9192e-01  8.4982e-04
  2.0202e-01  8.4982e-04
  2.1212e-01  8.4982e-04
  2.2222e-01  8.4982e-04
  2.3232e-01  8.4982e-04
  2.4242e-01  8.4982e-04
  2.5253e-01  8.4982e-04
  2.6263e-01  8.4982e-04
  2.7273e-01  8.4982e-04
  2.8283e-01  8.4982e-04
  2.9293e-01  8.4982e-04
  3.0303e-01  8.4982e-04
  3.1313e-01  8.4982e-04
  3.2323e-01  8.4982e-04
  3.3333e-01  8.4982e-04
  3.4343e-01  8.4982e-04
  3.5354e-01  8.4982e-04
  3.6364e-01  8.4982e-04
  3.7374e-01  8.4982e-04
  3.8384e-01  8.4982e-04
  3.9394e-01  8.4982e-04
  4.0404e-01  8.4982e-04
  4.1414e-01  8.4982e-04
  4.2424e-01  8.4982e-04
  4.3434e-01  8.4982e-04
  4.4444e-01  8.4982e-04
  4.5455e-01  8.4982e-04
  4.6465e-01  8.4982e-04
  4.7475e-01  8.4982e-04
  4.8485e-01  8.4982e-04
  4.9495e-01  8.4982e-04
  5.0505e-01  8.4982e-04
  5.1515e-01  8.4982e-04
  5.2525e-01  8.4982e-04
  5.3535e-01  8.4982e-04
  5.4545e-01  8.4982e-04
  5.5556e-01  8.4982e-04
  5.6566e-01  8.4982e-04
  5.7576e-01  8.4982e-04
  5.8586e-01  8.4982e-04
  5.9596e-01  8.4982e-04
  6.0606e-01  8.4982e-04
  6.1616e-01  8.4982e-04
  6.2626e-01  8.4982e-04
  6.3636e-01  8.4982e-04
  6.4646e-01  8.4982e-04
  6.5657e-01  8.4982e-04
  6.6667e-01  8.4982e-04
  6.7677e-01  8.4982e-04
  6.8687e-01  8.4982e-04
  6.9697e-01  8.4982e-04
  7.0707e-01  8.4982e-04
  7.1717e-01  8.4982e-04
  7.2727e-01  8.4982e-04
  7.3737e-01  8.4982e-04
  7.4747e-01  8.4982e-04
  7.5758e-01  8.4982e-04
  7.6768e-01  8.4982e-04
  7.7778e-01  8.4982e-04
  7.8788e-01  8.4982e-04
  7.9798e-01  8.4982e-04
  8.0808e-01  8.4982e-04
  8.1818e-01  8.4982e-04
  8.2828e-01  8.4982e-04
  8.3838e-01  8.4982e-04
  8.4848e-01  8.4982e-04
  8.5859e-01  8.4982e-04
  8.6869e-01  8.4982e-04
  8.7879e-01  8.4982e-04
  8.8889e-01  8.4982e-04
  8.9899e-01  8.4982e-04
  9.0909e-01  8.4982e-04
  9.1919e-01  8.4982e-04
  9.2929e-01  8.4982e-04
  9.3939e-01  8.4982e-04
  9.4949e-01  8.4982e-04
  9.5960e-01  8.4982e-04
  9.6970e-01  8.4982e-04
  9.7980e-01  8.4982e-04
  9.8990e-01  8.4982e-04
