           x        y(x)
  1.0010e-03  8.3500e-06
  2.0020e-03  8.3500e-06
  3.0030e-03  8.3500e-06
  4.0040e-03  8.3500e-06
  5.0050e-03  8.3500e-06
  6.0060e-03  8.3500e-06
  7.0070e-03  8.3500e-06
  8.0080e-03  8.3500e-06
  9.0090e-03  8.3500e-06
  1.0010e-02  8.3500e-06
  1.1011e-02  8.3500e-06
  1.2012e-02  8.3500e-06
  1.3013e-02  8.3500e-06
  1.4014e-02  8.3500e-06
  1.5015e-02  8.3500e-06
  1.6016e-02  8.3500e-06
  1.7017e-02  8.3500e-06
  1.8018e-02  8.3500e-06
  1.9019e-02  8.3500e-06
  2.0020e-02  8.3500e-06
  2.1021e-02  8.3500e-06
  2.2022e-02  8.3500e-06
  2.3023e-02  8.3500e-06
  2.4024e-02  8.3500e-06
  2.5025e-02  8.3500e-06
  2.6026e-02  8.3500e-06
  2.7027e-02  8.3500e-06
  2.8028e-02  8.3500e-06
  2.9029e-02  8.3500e-06
  3.0030e-02  8.3500e-06
  3.1031e-02  8.3500e-06
  3.2032e-02  8.3500e-06
  3.3033e-02  8.3500e-06
  3.4034e-02  8.3500e-06
  3.5035e-02  8.3500e-06
  3.6036e-02  8.3500e-06
  3.7037e-02  8.3500e-06
  3.8038e-02  8.3500e-06
  3.9039e-02  8.3500e-06
  4.0040e-02  8.3500e-06
  4.1041e-02  8.3500e-06
  4.2042e-02  8.3500e-06
  4.3043e-02  8.3500e-06
  4.4044e-02  8.3500e-06
  4.5045e-02  8.3500e-06
  4.6046e-02  8.3500e-06
  4.7047e-02  8.3500e-06
  4.8048e-02  8.3500e-06
  4.9049e-02  8.3500e-06
  5.0050e-02  8.3500e-06
  5.1051e-02  8.3500e-06
  5.2052e-02  8.3500e-06
  5.3053e-02  8.3500e-06
  5.4054e-02  8.3500e-06
  5.5055e-02  8.3500e-06
  5.6056e-02  8.3500e-06
  5.7057e-02  8.3500e-06
  5.8058e-02  8.3500e-06
  5.9059e-02  8.3500e-06
  6.0060e-02  8.3500e-06
  6.1061e-02  8.3500e-06
  6.2062e-02  8.3500e-06
  6.3063e-02  8.3500e-06
  6.4064e-02  8.3500e-06
  6.5065e-02  8.3500e-06
  6.6066e-02  8.3500e-06
  6.7067e-02  8.3500e-06
  6.8068e-02  8.3500e-06
  6.9069e-02  8.3500e-06
  7.0070e-02  8.3500e-06
  7.1071e-02  8.3500e-06
  7.2072e-02  8.3500e-06
  7.3073e-02  8.3500e-06
  7.4074e-02  8.3500e-06
  7.5075e-02  8.3500e-06
  7.6076e-02  8.3500e-06
  7.7077e-02  8.3500e-06
  7.8078e-02  8.3500e-06
  7.9079e-02  8.3500e-06
  8.0080e-02  8.3500e-06
  8.1081e-02  8.3500e-06
  8.2082e-02  8.3500e-06
  8.3083e-02  8.3500e-06
  8.4084e-02  8.3500e-06
  8.5085e-02  8.3500e-06
  8.6086e-02  8.3500e-06
  8.7087e-02  8.3500e-06
  8.8088e-02  8.3500e-06
  8.9089e-02  8.3500e-06
  9.0090e-02  8.3500e-06
  9.1091e-02  8.3500e-06
  9.2092e-02  8.3500e-06
  9.3093e-02  8.3500e-06
  9.4094e-02  8.3500e-06
  9.5095e-02  8.3500e-06
  9.6096e-02  8.3500e-06
  9.7097e-02  8.3500e-06
  9.8098e-02  8.3500e-06
  9.9099e-02  8.3500e-06
  1.0010e-01  8.3500e-06
  1.0110e-01  8.3500e-06
  1.0210e-01  8.3500e-06
  1.0310e-01  8.3500e-06
  1.0410e-01  8.3500e-06
  1.0511e-01  8.3500e-06
  1.0611e-01  8.3500e-06
  1.0711e-01  8.3500e-06
  1.0811e-01  8.3500e-06
  1.0911e-01  8.3500e-06
  1.1011e-01  8.3500e-06
  1.1111e-01  8.3500e-06
  1.1211e-01  8.3500e-06
  1.1311e-01  8.3500e-06
  1.1411e-01  8.3500e-06
  1.1512e-01  8.3500e-06
  1.1612e-01  8.3500e-06
  1.1712e-01  8.3500e-06
  1.1812e-01  8.3500e-06
  1.1912e-01  8.3500e-06
  1.2012e-01  8.3500e-06
  1.2112e-01  8.3500e-06
  1.2212e-01  8.3500e-06
  1.2312e-01  8.3500e-06
  1.2412e-01  8.3500e-06
  1.2513e-01  8.3500e-06
  1.2613e-01  8.3500e-06
  1.2713e-01  8.3500e-06
  1.2813e-01  8.3500e-06
  1.2913e-01  8.3500e-06
  1.3013e-01  8.3500e-06
  1.3113e-01  8.3500e-06
  1.3213e-01  8.3500e-06
  1.3313e-01  8.3500e-06
  1.3413e-01  8.3500e-06
  1.3514e-01  8.3500e-06
  1.3614e-01  8.3500e-06
  1.3714e-01  8.3500e-06
  1.3814e-01  8.3500e-06
  1.3914e-01  8.3500e-06
  1.4014e-01  8.3500e-06
  1.4114e-01  8.3500e-06
  1.4214e-01  8.3500e-06
  1.4314e-01  8.3500e-06
  1.4414e-01  8.3500e-06
  1.4515e-01  8.3500e-06
  1.4615e-01  8.3500e-06
  1.4715e-01  8.3500e-06
  1.4815e-01  8.3500e-06
  1.4915e-01  8.3500e-06
  1.5015e-01  8.3500e-06
  1.5115e-01  8.3500e-06
  1.5215e-01  8.3500e-06
  1.5315e-01  8.3500e-06
  1.5415e-01  8.3500e-06
  1.5516e-01  8.3500e-06
  1.5616e-01  8.3500e-06
  1.5716e-01  8.3500e-06
  1.5816e-01  8.3500e-06
  1.5916e-01  8.3500e-06
  1.6016e-01  8.3500e-06
  1.6116e-01  8.3500e-06
  1.6216e-01  8.3500e-06
  1.6316e-01  8.3500e-06
  1.6416e-01  8.3500e-06
  1.6517e-01  8.3500e-06
  1.6617e-01  8.3500e-06
  1.6717e-01  8.3500e-06
  1.6817e-01  8.3500e-06
  1.6917e-01  8.3500e-06
  1.7017e-01  8.3500e-06
  1.7117e-01  8.3500e-06
  1.7217e-01  8.3500e-06
  1.7317e-01  8.3500e-06
  1.7417e-01  8.3500e-06
  1.7518e-01  8.3500e-06
  1.7618e-01  8.3500e-06
  1.7718e-01  8.3500e-06
  1.7818e-01  8.3500e-06
  1.7918e-01  8.3500e-06
  1.8018e-01  8.3500e-06
  1.8118e-01  8.3500e-06
  1.8218e-01  8.3500e-06
  1.8318e-01  8.3500e-06
  1.8418e-01  8.3500e-06
  1.8519e-01  8.3500e-06
  1.8619e-01  8.3500e-06
  1.8719e-01  8.3500e-06
  1.8819e-01  8.3500e-06
  1.8919e-01  8.3500e-06
  1.9019e-01  8.3500e-06
  1.9119e-01  8.3500e-06
  1.9219e-01  8.3500e-06
  1.9319e-01  8.3500e-06
  1.9419e-01  8.3500e-06
  1.9520e-01  8.3500e-06
  1.9620e-01  8.3500e-06
  1.9720e-01  8.3500e-06
  1.9820e-01  8.3500e-06
  1.9920e-01  8.3500e-06
  2.0020e-01  8.3500e-06
  2.0120e-01  8.3500e-06
  2.0220e-01  8.3500e-06
  2.0320e-01  8.3500e-06
  2.0420e-01  8.3500e-06
  2.0521e-01  8.3500e-06
  2.0621e-01  8.3500e-06
  2.0721e-01  8.3500e-06
  2.0821e-01  8.3500e-06
  2.0921e-01  8.3500e-06
  2.1021e-01  8.3500e-06
  2.1121e-01  8.3500e-06
