           x        y(x)
  1.0001e-04  7.4978e-11
  2.0002e-04  1.4987e-10
  3.0003e-04  2.2469e-10
  4.0004e-04  2.9941e-10
  5.0005e-04  3.7406e-10
  6.0006e-04  4.4862e-10
  7.0007e-04  5.2310e-10
  8.0008e-04  5.9750e-10
  9.0009e-04  6.7181e-10
  1.0001e-03  7.4604e-10
  1.1001e-03  8.2019e-10
  1.2001e-03  8.9426e-10
  1.3001e-03  9.6825e-10
  1.4001e-03  1.0421e-09
  1.5002e-03  1.1160e-09
  1.6002e-03  1.1897e-09
  1.7002e-03  1.2634e-09
  1.8002e-03  1.3369e-09
  1.9002e-03  1.4104e-09
  2.0002e-03  1.4838e-09
  2.1002e-03  1.5572e-09
  2.2002e-03  1.6304e-09
  2.3002e-03  1.7036e-09
  2.4002e-03  1.7767e-09
  2.5003e-03  1.8497e-09
  2.6003e-03  1.9226e-09
  2.7003e-03  1.9954e-09
  2.8003e-03  2.0682e-09
  2.9003e-03  2.1409e-09
  3.0003e-03  2.2135e-09
  3.1003e-03  2.2860e-09
  3.2003e-03  2.3584e-09
  3.3003e-03  2.4308e-09
  3.4003e-03  2.5030e-09
  3.5004e-03  2.5752e-09
  3.6004e-03  2.6473e-09
  3.7004e-03  2.7194e-09
  3.8004e-03  2.7913e-09
  3.9004e-03  2.8632e-09
  4.0004e-03  2.9350e-09
  4.1004e-03  3.0067e-09
  4.2004e-03  3.0783e-09
  4.3004e-03  3.1499e-09
  4.4004e-03  3.2213e-09
  4.5005e-03  3.2927e-09
  4.6005e-03  3.3641e-09
  4.7005e-03  3.4353e-09
  4.8005e-03  3.5064e-09
  4.9005e-03  3.5775e-09
  5.0005e-03  3.6485e-09
  5.1005e-03  3.7194e-09
  5.2005e-03  3.7903e-09
  5.3005e-03  3.8610e-09
  5.4005e-03  3.9317e-09
  5.5006e-03  4.0023e-09
  5.6006e-03  4.0728e-09
  5.7006e-03  4.1432e-09
  5.8006e-03  4.2136e-09
  5.9006e-03  4.2839e-09
  6.0006e-03  4.3541e-09
  6.1006e-03  4.4242e-09
  6.2006e-03  4.4943e-09
  6.3006e-03  4.5642e-09
  6.4006e-03  4.6341e-09
  6.5007e-03  4.7039e-09
  6.6007e-03  4.7737e-09
  6.7007e-03  4.8433e-09
  6.8007e-03  4.9129e-09
  6.9007e-03  4.9824e-09
  7.0007e-03  5.0518e-09
  7.1007e-03  5.1212e-09
  7.2007e-03  5.1904e-09
  7.3007e-03  5.2596e-09
  7.4007e-03  5.3287e-09
  7.5008e-03  5.3978e-09
  7.6008e-03  5.4667e-09
  7.7008e-03  5.5356e-09
  7.8008e-03  5.6044e-09
  7.9008e-03  5.6731e-09
  8.0008e-03  5.7418e-09
  8.1008e-03  5.8104e-09
  8.2008e-03  5.8789e-09
  8.3008e-03  5.9473e-09
  8.4008e-03  6.0156e-09
  8.5009e-03  6.0839e-09
  8.6009e-03  6.1521e-09
  8.7009e-03  6.2202e-09
  8.8009e-03  6.2882e-09
  8.9009e-03  6.3562e-09
  9.0009e-03  6.4241e-09
  9.1009e-03  6.4919e-09
  9.2009e-03  6.5596e-09
  9.3009e-03  6.6273e-09
  9.4009e-03  6.6948e-09
  9.5010e-03  6.7623e-09
  9.6010e-03  6.8298e-09
