           x        y(x)
  1.0001e-04  8.3347e-08
  2.0002e-04  8.3347e-08
  3.0003e-04  8.3347e-08
  4.0004e-04  8.3347e-08
  5.0005e-04  8.3347e-08
  6.0006e-04  8.3347e-08
  7.0007e-04  8.3347e-08
  8.0008e-04  8.3347e-08
  9.0009e-04  8.3347e-08
  1.0001e-03  8.3347e-08
  1.1001e-03  8.3347e-08
  1.2001e-03  8.3347e-08
  1.3001e-03  8.3347e-08
  1.4001e-03  8.3347e-08
  1.5002e-03  8.3347e-08
  1.6002e-03  8.3347e-08
  1.7002e-03  8.3347e-08
  1.8002e-03  8.3347e-08
  1.9002e-03  8.3347e-08
  2.0002e-03  8.3347e-08
  2.1002e-03  8.3347e-08
  2.2002e-03  8.3347e-08
  2.3002e-03  8.3347e-08
  2.4002e-03  8.3347e-08
  2.5003e-03  8.3347e-08
  2.6003e-03  8.3347e-08
  2.7003e-03  8.3347e-08
  2.8003e-03  8.3347e-08
  2.9003e-03  8.3347e-08
  3.0003e-03  8.3347e-08
  3.1003e-03  8.3347e-08
  3.2003e-03  8.3347e-08
  3.3003e-03  8.3347e-08
  3.4003e-03  8.3347e-08
  3.5004e-03  8.3347e-08
  3.6004e-03  8.3347e-08
  3.7004e-03  8.3347e-08
  3.8004e-03  8.3347e-08
  3.9004e-03  8.3347e-08
  4.0004e-03  8.3347e-08
  4.1004e-03  8.3347e-08
  4.2004e-03  8.3347e-08
  4.3004e-03  8.3347e-08
  4.4004e-03  8.3347e-08
  4.5005e-03  8.3347e-08
  4.6005e-03  8.3347e-08
  4.7005e-03  8.3347e-08
  4.8005e-03  8.3347e-08
  4.9005e-03  8.3347e-08
  5.0005e-03  8.3347e-08
  5.1005e-03  8.3347e-08
  5.2005e-03  8.3347e-08
  5.3005e-03  8.3347e-08
  5.4005e-03  8.3347e-08
  5.5006e-03  8.3347e-08
  5.6006e-03  8.3347e-08
  5.7006e-03  8.3347e-08
  5.8006e-03  8.3347e-08
  5.9006e-03  8.3347e-08
  6.0006e-03  8.3347e-08
  6.1006e-03  8.3347e-08
  6.2006e-03  8.3347e-08
  6.3006e-03  8.3347e-08
  6.4006e-03  8.3347e-08
  6.5007e-03  8.3347e-08
  6.6007e-03  8.3347e-08
  6.7007e-03  8.3347e-08
  6.8007e-03  8.3347e-08
  6.9007e-03  8.3347e-08
  7.0007e-03  8.3347e-08
  7.1007e-03  8.3347e-08
  7.2007e-03  8.3347e-08
  7.3007e-03  8.3347e-08
  7.4007e-03  8.3347e-08
  7.5008e-03  8.3347e-08
  7.6008e-03  8.3347e-08
  7.7008e-03  8.3347e-08
  7.8008e-03  8.3347e-08
  7.9008e-03  8.3347e-08
  8.0008e-03  8.3347e-08
  8.1008e-03  8.3347e-08
  8.2008e-03  8.3347e-08
  8.3008e-03  8.3347e-08
  8.4008e-03  8.3347e-08
  8.5009e-03  8.3347e-08
  8.6009e-03  8.3347e-08
  8.7009e-03  8.3347e-08
  8.8009e-03  8.3347e-08
  8.9009e-03  8.3347e-08
  9.0009e-03  8.3347e-08
  9.1009e-03  8.3347e-08
  9.2009e-03  8.3347e-08
  9.3009e-03  8.3347e-08
  9.4009e-03  8.3347e-08
  9.5010e-03  8.3347e-08
  9.6010e-03  8.3347e-08
  9.7010e-03  8.3347e-08
  9.8010e-03  8.3347e-08
  9.9010e-03  8.3347e-08
  1.0001e-02  8.3347e-08
  1.0101e-02  8.3347e-08
  1.0201e-02  8.3347e-08
  1.0301e-02  8.3347e-08
  1.0401e-02  8.3347e-08
  1.0501e-02  8.3347e-08
  1.0601e-02  8.3347e-08
  1.0701e-02  8.3347e-08
  1.0801e-02  8.3347e-08
  1.0901e-02  8.3347e-08
  1.1001e-02  8.3347e-08
  1.1101e-02  8.3346e-08
  1.1201e-02  8.3346e-08
  1.1301e-02  8.3346e-08
  1.1401e-02  8.3346e-08
  1.1501e-02  8.3346e-08
  1.1601e-02  8.3346e-08
  1.1701e-02  8.3346e-08
  1.1801e-02  8.3346e-08
  1.1901e-02  8.3346e-08
  1.2001e-02  8.3346e-08
  1.2101e-02  8.3346e-08
  1.2201e-02  8.3346e-08
  1.2301e-02  8.3346e-08
  1.2401e-02  8.3346e-08
  1.2501e-02  8.3346e-08
  1.2601e-02  8.3346e-08
  1.2701e-02  8.3346e-08
  1.2801e-02  8.3346e-08
  1.2901e-02  8.3346e-08
  1.3001e-02  8.3346e-08
  1.3101e-02  8.3346e-08
  1.3201e-02  8.3346e-08
  1.3301e-02  8.3346e-08
  1.3401e-02  8.3346e-08
  1.3501e-02  8.3346e-08
  1.3601e-02  8.3346e-08
  1.3701e-02  8.3346e-08
  1.3801e-02  8.3346e-08
  1.3901e-02  8.3346e-08
  1.4001e-02  8.3346e-08
  1.4101e-02  8.3346e-08
  1.4201e-02  8.3346e-08
  1.4301e-02  8.3346e-08
  1.4401e-02  8.3346e-08
  1.4501e-02  8.3346e-08
  1.4601e-02  8.3346e-08
  1.4701e-02  8.3346e-08
  1.4801e-02  8.3346e-08
  1.4901e-02  8.3346e-08
  1.5002e-02  8.3346e-08
  1.5102e-02  8.3346e-08
  1.5202e-02  8.3346e-08
  1.5302e-02  8.3346e-08
  1.5402e-02  8.3346e-08
  1.5502e-02  8.3346e-08
  1.5602e-02  8.3346e-08
  1.5702e-02  8.3346e-08
  1.5802e-02  8.3346e-08
  1.5902e-02  8.3346e-08
