           x       y0(x)       y1(x)       y2(x)
  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
  9.0909e-02  1.2013e-01  2.3053e-01  3.2225e-01
  1.8182e-01  2.3053e-01  3.8787e-01  4.2206e-01
  2.7273e-01  3.2225e-01  4.2206e-01  2.3053e-01
  3.6364e-01  3.8787e-01  3.2225e-01 -1.2013e-01
  4.5455e-01  4.2206e-01  1.2013e-01 -3.8787e-01
  5.4545e-01  4.2206e-01 -1.2013e-01 -3.8787e-01
  6.3636e-01  3.8787e-01 -3.2225e-01 -1.2013e-01
  7.2727e-01  3.2225e-01 -4.2206e-01  2.3053e-01
  8.1818e-01  2.3053e-01 -3.8787e-01  4.2206e-01
  9.0909e-01  1.2013e-01 -2.3053e-01  3.2225e-01
  1.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00
